,id,pts,offset
Madison St & Seneca Ave-Wyckoff Av & Jefferson St,407,2,814
West End Ave & W 60 St-11 Ave & W 59 St,408,2,816
West End Ave & W 60 St-Broadway & W 58 St,409,2,818
West End Ave & W 60 St-W 70 St & Amsterdam Ave,410,2,820
West End Ave & W 60 St-W 64 St & Thelonious Monk Circle,411,2,822
West End Ave & W 60 St-W 59 St & 10 Ave,412,2,824
West End Ave & W 60 St-Broadway & W 51 St,413,2,826
West End Ave & W 60 St-W 34 St & Hudson Blvd E,414,2,828
West End Ave & W 60 St-W 54 St & 11 Ave,415,2,830
West End Ave & W 60 St-Amsterdam Ave & W 66 St,416,2,832
West End Ave & W 60 St-Amsterdam Ave & W 73 St,417,2,834
Decatur Ave & Bedford Park Blvd-Bainbridge Ave & Bedford Park Blvd,418,2,836
Decatur Ave & Bedford Park Blvd-Grand Concourse & E 199 St,419,2,838
